"StateCodes","State","year","GDP"
"FL","Florida","2013",797343.5
"GA","Georgia","2013",450933.5
"HI","Hawaii","2013",74011.75
"ID","Idaho","2013",61110.75
"IL","Illinois","2013",720494.5
"IN","Indiana","2013",310669.25
"IA","Iowa","2013",163495.25
"KS","Kansas","2013",142773.5
"KY","Kentucky","2013",182696.25
"LA","Louisiana","2013",238308.25
"ME","Maine","2013",53299.75
"MD","Maryland","2013",337422
"MA","Massachusetts","2013",438640.75
"MI","Michigan","2013",431111.5
"MN","Minnesota","2013",307215.75
"MS","Mississippi","2013",103269.75
"MO","Missouri","2013",274540.5
"MT","Montana","2013",43223.25
"NE","Nebraska","2013",107187.5
"NV","Nevada","2013",126935.5
"NH","New Hampshire","2013",67306.5
"NJ","New Jersey","2013",530091.25
"NM","New Mexico","2013",91344.5
"NY","New York","2013",1335063.5
"NC","North Carolina","2013",454450
"ND","North Dakota","2013",54441.25
"OH","Ohio","2013",558969
"OK","Oklahoma","2013",182447.25
"OR","Oregon","2013",197732.75
"PA","Pennsylvania","2013",645382.5
"RI","Rhode Island","2013",52808.5
"SC","South Carolina","2013",180855.75
"SD","South Dakota","2013",44909.5
"TN","Tennessee","2013",289266.25
"TX","Texas","2013",1527158.5
"UT","Utah","2013",134922.25
"VT","Vermont","2013",28610.75
"VA","Virginia","2013",451877.5
"WA","Washington","2013",402789
"WV","West Virginia","2013",72762.5
"WI","Wisconsin","2013",281549.25
"WY","Wyoming","2013",40456.5
"DC","District of Columbia","2013",111816.5
"US","United States","2013",16548795.25
"AL","Alabama","2014",197534.5
"AK","Alaska","2014",58066.75
"AZ","Arizona","2014",281558.75
"AR","Arkansas","2014",121064.75
"CA","California","2014",2324995.5
"CO","Colorado","2014",305366.75
"CT","Connecticut","2014",250763.75
"DE","Delaware","2014",65484.75
"FL","Florida","2014",835578.5
"GA","Georgia","2014",471879.5
"HI","Hawaii","2014",76424.75
"ID","Idaho","2014",63364
"IL","Illinois","2014",742027.75
"IN","Indiana","2014",324289
"IA","Iowa","2014",170715
"KS","Kansas","2014",146562
"KY","Kentucky","2014",188518
"LA","Louisiana","2014",245790.75
"ME","Maine","2014",55029
"MD","Maryland","2014",350262.5
"MA","Massachusetts","2014",456273
"MI","Michigan","2014",447221.25
"MN","Minnesota","2014",320381.25
"MS","Mississippi","2014",104937.5
"MO","Missouri","2014",283280.25
"MT","Montana","2014",44672.25
"NE","Nebraska","2014",110663.25
"NV","Nevada","2014",134052.25
"NH","New Hampshire","2014",70345.25
"NJ","New Jersey","2014",545374.25
"NM","New Mexico","2014",94791.5
"NY","New York","2014",1385776.25
"NC","North Carolina","2014",474355.25
"ND","North Dakota","2014",58230
"OH","Ohio","2014",588827.75
"OK","Oklahoma","2014",190170.5
"OR","Oregon","2014",203328
"PA","Pennsylvania","2014",672413.25
"RI","Rhode Island","2014",55098.25
"SC","South Carolina","2014",189655.5
"SD","South Dakota","2014",45600
"TN","Tennessee","2014",300015.25
"TX","Texas","2014",1601976.75
"UT","Utah","2014",140565
"VT","Vermont","2014",29661.75
"VA","Virginia","2014",462243
"WA","Washington","2014",422766.5
"WV","West Virginia","2014",74432.75
"WI","Wisconsin","2014",293341.25
"WY","Wyoming","2014",40875.5
"DC","District of Columbia","2014",116539.25
"US","United States","2014",17233140
